id	hash	time	median_time	size	stripped_size	weight	version	version_hex	version_bits	merkle_root	nonce	bits	difficulty	chainwork	coinbase_data_hex	transaction_count	witness_count	input_count	output_count	input_total	input_total_usd	output_total	output_total_usd	fee_total	fee_total_usd	fee_per_kb	fee_per_kb_usd	fee_per_kwu	fee_per_kwu_usd	cdd_total	generation	generation_usd	reward	reward_usd	guessed_miner
855712	000000000000000000024bfbe6d051d5906057beb52d5d4e1390f31c354752a0	2024-08-07 00:19:15	2024-08-06 23:24:32	1601330	797290	3993200	603979776	24000000	100100000000000000000000000000	bb8b95b99add4f003cfd82d2d3f4b81e39bfc509904c2bc940be979785f95c13	2705184937	386079422	90666502495566	0000000000000000000000000000000000000000878ff2943741958d71535746	03a00e0d048abdb2662f466f756e6472792055534120506f6f6c202364726f70676f6c642f56a077f4c280600000000000	2833	2612	7470	11863	2502750967149	1393331456	2503063467149	1393505536	9382623	5223.4937	5860.513	3.2629	2350.387	1.3083	63520.009346017	312500000	173975	321882623	179198.5	Foundry USA Pool
855713	000000000000000000027a7da4961e2cba5829bf3b7bf747e88ebc9c25a95cf9	2024-08-07 00:33:10	2024-08-06 23:27:28	1756280	745539	3992897	669155328	27e28000	100111111000101000000000000000	6ca99e55485bc310ac5ee51a8dedd7f98b7c454f6f95e4f61674174db204752f	750355073	386079422	90666502495566	00000000000000000000000000000000000000008790450a7a6475fe1a65902c	03a10e0d04cdc0b2662f466f756e6472792055534120506f6f6c202364726f70676f6c642f1f2ea07efb0f000000000000	2495	2348	6835	8367	912645319002	508087904	912957819002	508261888	5449658	3033.9336	3103.556	1.7281	1365.2662	0.7599	9544.9750831356	312500000	173975	317949658	177008.9375	Foundry USA Pool
855714	000000000000000000010345dbf7fbb3532c5547d646bcf79cae170d8c0829e3	2024-08-07 00:46:52	2024-08-06 23:35:50	1642233	783508	3992757	704643076	2a000004	101010000000000000000000000100	effec591f27be80374506812cab9470a84cfab2034ada5794776ef4222b01822	3733307868	386079422	90666502495566	000000000000000000000000000000000000000087909780bd87566ec377c912	03a20e0d04fcc3b2662f53424943727970746f2e636f6d20506f6f6c2f20b99c99c316470000000000	2014	1852	6678	7152	601272500952	334740416	601585000952	334914400	5764187	3209.0381	3510.587	1.9546	1444.0399	0.8039	7454.6331722478	312500000	173975	318264187	177184.0312	SBICrypto
855715	000000000000000000018e0cdedf173e32ca246d6876b86adf0058500d99d387	2024-08-07 00:59:40	2024-08-06 23:40:13	1574393	806085	3992648	551550980	20e00004	100000111000000000000000000100	ba477449d10e43287dc9a5f15109947697d535c148fbcafa6406299153e796a3	1804653136	386079422	90666502495566	00000000000000000000000000000000000000008790e9f700aa36df6c8a01f8	03a30e0d04fcc6b2662f53424943727970746f2e636f6d20506f6f6c2f0ed293bc3906030000000000	2990	2874	8204	8933	386484001812	215163376	386796501812	215337344	5302904	2952.2327	3368.8396	1.8756	1328.5159	0.7399	1041880.2885315	312500000	173975	317802904	176927.2344	SBICrypto
855716	00000000000000000002d84e66aa8e7e6078bf032bb91d10cf337b5e3e693b5c	2024-08-07 01:09:36	2024-08-06 23:46:48	1624381	789699	3993478	537108480	2003a000	100000000000111010000000000000	d3dbeec06f0537fdb58b918c28ad45c91d81d731cae088da045f597cd76df9b9	4244296490	386079422	90666502495566	000000000000000000000000000000000000000087913c6d43cd1750159c3ade	03a40e0d1462696e616e63652f31303039770079008e6ee501fabe6d6dc89c5ef1d49918de927ed92bb8ffa3989d01fd6afa8e3be3c40fc1e9f243a5611000000000000000171d97a735dd000000000000	5120	5034	7684	12374	737444389036	410550048	737756889036	410724000	4831465	2689.7732	2975.108	1.6562	1210.3129	0.6736	3540.7950719264	312500000	173975	317331465	176664.7656	Binance
855717	000000000000000000027d83d354c856cda741de58b23f10fd10aa3cfcbe76a8	2024-08-07 01:20:19	2024-08-07 00:19:15	1686201	768984	3993153	671088640	28000000	101000000000000000000000000000	cc47dd08f3334acd8bdb3343b5f6a007ff59e8ee3d7c7fc5af76b014425e5ea8	3219115066	386079422	90666502495566	000000000000000000000000000000000000000087918ee386eff7c0beae73c4	03a50e0d082f5669614254432f2cfabe6d6d71429c28bb4d2e59078b5b4bcf51175823612a31689a5a9ecfafd29a31de279e100000000000000010411b9808de1075a710aa671426182600	4820	4719	7226	12044	1802942394786	1003734080	1803254894786	1003908096	5277662	2938.1799	3130.6145	1.7431	1322.1427	0.736	12446.692370342	312500000	173975	317777662	176913.1875	ViaBTC
855718	00000000000000000001aaab7e57e14ccd55917e0440938bc6d4a2d2fa44b781	2024-08-07 01:29:30	2024-08-07 00:33:10	1597123	798745	3993358	565313536	21b20000	100001101100100000000000000000	32e7149443cb89cca11dc722f2cfc64739867d9ffd953e7e3ac6f4079dac88e5	974623664	386079422	90666502495566	00000000000000000000000000000000000000008791e159ca12d83167c0acaa	03a60e0d1b4d696e656420627920416e74506f6f6c39303016019700958cec61fabe6d6d26d4339c256952a777f33d44d7fa3e192f8359ee73ecfe4e6175506d5514ec0810000000000000000000bb3b6ec6000000000000	6099	6015	7608	13707	513224899536	285722560	513537399536	285896544	4233580	2356.9187	2651.546	1.4764	1060.6334	0.5907	14512.293655811	312500000	173975	316733580	176331.9219	AntPool
855719	00000000000000000002484e59b3081beceb261c100ae9bec84400e7686abed1	2024-08-07 01:35:34	2024-08-07 00:46:52	1579846	804586	3993604	537690112	200c8000	100000000011001000000000000000	aa00da766994c06e2bcd600abcd66b220d73b404682dfa100868dde959360af3	818930338	386079422	90666502495566	0000000000000000000000000000000000000000879233d00d35b8a210d2e590	03a70e0d194d696e656420627920416e74506f6f6c208c00250297b8219afabe6d6d767a1769ae1d10bdf9ef09134a5423c26840c5e34e51306141387edd89e9c98a100000000000000000007d59f379000000000000	6398	6343	7650	14183	110383281891	61452580	110695781891	61626556	3606595	2007.8635	2283.5642	1.2715	903.4982	0.5027	1496.9504878127	312500000	173975	316106595	175982.8594	AntPool
855720	0000000000000000000032ebdf022b81521426e27ff055fefa5b155fac307866	2024-08-07 02:10:27	2024-08-07 00:59:40	1570374	807582	3993120	541065216	20400000	100000010000000000000000000000	762f25e5221755932be10ee353e3e46304f3961d0cf9a0e239f1735a13fff925	2976865928	386079422	90666502495566	00000000000000000000000000000000000000008792864650589912b9e51e76	03a80e0d04a7d7b266537069646572506f6f6c2f3130363130332fcd906edb9f1a7465e515030000000000	3262	2994	6849	12143	923621490897	514198560	923933990897	514372544	8159674	4542.6538	5197.165	2.8933	2044.0946	1.1379	18036.313091532	312500000	173975	320659674	178517.6562	SpiderPool
855721	000000000000000000022535591a0726fb820cc9c9184a62a97726b8dd595572	2024-08-07 02:16:28	2024-08-07 01:09:36	1846678	715663	3993667	576176128	2257c000	100010010101111100000000000000	7adf451d19bb09c232679a2634cc738d5aeca56c0de01543f523e5c5a72cedd2	1436192768	386079422	90666502495566	00000000000000000000000000000000000000008792d8bc937b798362f7575c	03a90e0d1b4d696e656420627920416e74506f6f6c39373148001c01a657cdabfabe6d6d724c00e88ea44511ceaed5326bbcc36375d5c697e59917ba3e95bd31723bfdec100000000000000026690000fa78000000000000	1167	1082	11231	4160	270324821621	150495232	270637321621	150669216	4175494	2324.5811	2261.6682	1.2593	1046.0002	0.5823	8270.3884400507	312500000	173975	316675494	176299.5781	AntPool
